,Mansehra,Hassan Abdal,Peshawar,Attock,Islamabad,Murree,Rawat,Balkasar,Chakwal,Mianwali,Bhera,Sargoda,Pindi Bhattian,Jhang,Faisalabad,Lahore,Dina,Gujranwala,Multan,DG Khan,Bahwalpur,Sukkur,Quetta,Khuzdar,Karachi
Mansehra,0,95,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassan Abdal,95,0,0,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peshawar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attock,0,35,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Islamabad,0,65,0,94,0,50,35,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murree,92,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rawat,0,0,0,0,35,0,0,0,84,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0
Balkasar,0,0,0,0,118,0,0,0,21,126,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chakwal,0,0,0,0,0,0,84,21,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0
Mianwali,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0
Bhera,0,0,0,0,0,0,0,76,0,0,0,71,90,0,0,0,0,0,0,0,0,0,0,0,0
Sargoda,0,0,0,0,0,0,0,0,0,0,71,0,0,119,135,0,0,0,0,0,0,0,0,0,0
Pindi Bhattian,0,0,0,0,0,0,0,0,0,0,90,0,0,152,75,128,0,113,0,0,0,0,0,0,0
Jhang,0,0,0,0,0,0,0,0,0,0,0,119,152,0,91,0,0,0,159,0,0,0,0,0,0
Faisalabad,0,0,0,0,0,0,0,0,0,0,0,135,75,91,0,184,0,0,0,0,0,0,0,0,0
Lahore,0,0,0,0,0,0,0,0,0,0,0,0,128,0,184,0,0,73,348,0,0,0,0,0,0
Dina,0,0,0,0,0,0,73,0,96,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0
Gujranwala,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,73,120,0,0,0,0,0,0,0,0
Multan,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,348,0,0,0,96,97,0,0,0,0
DG Khan,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0
Bhawalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,377,0,0,0
Sukkur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,478
Quetta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0
Khuzdar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0
Karachi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0
